name,telephoneNumber,mail,physicalAddress,postalAddress
Jabiru Area School,(08) 8938 3333,jabiru.areaschool@education.nt.gov.au,"40 Waterhouse Rd, Jabiru, NT","PO Box  246, Jabiru, 0886, NT"
Ida Standley Pre School,(08) 8952 1040,,"15 Parke Cres, Alice Springs, NT",", , , "
Imanpa School,(08) 8956 7483,steve.nankivell@education.nt.gov.au,"N/A, Imanpa, NT","PMB 76, via Alice Springs, 0872, NT"
Humpty Doo Primary School,(08) 792 30400,admin.humptydoo@education.nt.gov.au,"50 Freds Pass Rd, Humpty Doo, 0836, NT","PO Box 46, HUMPTY DOO, 0836, NT"
Humpty Doo Pre School,(08) 792 30400,,"50 Freds Pass Rd, Humpty Doo, NT",", , , "
Howard Springs Primary School,(08) 898 30000,howard.springs@education.nt.gov.au,"295 Whitewood Rd, Howard Springs, 0835, NT","PO Box  171, HOWARD SPRINGS, 0835, NT"
Howard Springs Pre School,(08) 8983 0000,,"295 Whitewood Rd, Howard Springs, NT",", , , "
Holy Spirit Catholic School,(08) 8927 3411,paula.sellars@nt.catholic.edu.au,"Gsell Street, Casuarina, NT","PO Box 40030, Casuarina, 0810, NT"
Holy Family Catholic School,(08) 89276188,admin.holyfamily@nt.catholic.edu.au,"Calytrix Road, Karama, NT","PO Box 40870, Casuarina, 0812, NT"
Henbury School,(08) 899 77077,henbury.admin@education.nt.gov.au,"11 Henbury Avenue, Tiwi, 0810, NT","11 Henbury Avenue, Tiwi, 0810, NT"
Harts Range School,(08) 8956 9771,kylie.mckay@education.nt.gov.au,"N/A, Atitjere (Harts Range), NT","PMB 162, via Alice Springs, 0871, NT"
Haileybury Rendall School,(08) 8922 1611,hrs.admin@hrs.edu.au,"6057 Berrimah Road, Berrimah, NT","PO Box 241, Berrimah, 0828, NT"
Haasts Bluff School,(08) 8956 8550,geoff.gillman@education.nt.gov.au,"N/A, Haasts Bluff (Ikuntji), 0872, NT","Haasts Bluff, via Alice Springs, 0872, NT"
Gray Pre School,(08) 8932 1700,,"22 Victoria Dr, Gray, NT",", , , "
Gunbalanya Pre School,(08) 8979 0181,,"N/a, Gunbalanya, NT",", , , "
Gunbalanya School,(08) 8979 0181,admin.gunbacec@education.nt.gov.au,"N/A, Gunbalanya, NT","PMB 66, Gunbalanya, 0822, NT"
Gray Primary School,(08) 8932 1700,admin.graysch@education.nt.gov.au,"22 Victoria Drive, Gray, 0830, NT","Victoria Drive, GRAY, 0830, NT"
Good Shepherd Lutheran School,(08) 8983 0300,admin@goodshepherd.nt.edu.au,"Cnr Emery Ave and Temple Tce, Palmerston, NT","PO Box 1146, Howard Springs, 0831, NT"
Good Shepherd Lutheran College,08 89830300,admin@goodshepherd.nt.edu.au,"Cnr Whitewood Rd and Kundook Place, Howard Springs, NT","PO Box 1146, Howard Springs, 0831, NT"
Good Shepherd - Leanyer Campus,(08) 8983 0300,admin@goodshepherd.nt.edu.au,"94 Leanyer Drive, Leanyer, NT","PO Box 1146, Howard Springs, 0831, NT"
Girraween Primary School,(08) 8983 3300,admin.girrasch@education.nt.gov.au,"25 Carruth Rd, Girraween, 0835, NT","PO Box 1042, HOWARD SPRINGS, 0835, NT"
Gillen Pre School,(08) 8952 2355,,"12 Newland St, Alice Springs, NT",", , , "
Gillen Primary School,(08) 895 52155,gillen.school@education.nt.gov.au,"55 Milner Rd, Alice Springs, 0870, NT","PO Box 769, ALICE SPRINGS, 0871, NT"
Girraween Pre School,(08) 8983 3300,,"25 Carruth Rd, Girraween, NT",", , , "
Gapuwiyak Pre School,(08) 8987 9122,,"N/A, Gapuwiyak, NT",", , , "
Gawa Christian School,8970 5212,admin.gcs@ntschools.net,"Community ID 508, Gawa, NT","PMB 257, Elcho Island via Winnellie, 0822, NT"
Gapuwiyak School,(08) 8987 9122,kylie.hendry1@education.nt.gov.au,"N/a, Gapuwiyak, NT","PMB 900, Via Winnellie, 0822, NT"
Forrest Parade School,(08) 899 77111,admin.forrestps@education.nt.gov.au,"120 Flynn Circuit, Bellamack, 0832, NT","120 Flynn Circuit, Bellamack, 0832, NT"
Finke School,(08) 8956 0960,finke.school@education.nt.gov.au,"N/A, Finke, NT","PMB 30, via Alice Springs, 0871, NT"
Families as First Teachers,(08) 899 93550,faft.doe@education.nt.gov.au,"Mitchell St, Darwin, 0800, NT","GPO Box 4821, Darwin, 0801, NT"
Durack Pre School,(08) 899 77555,,"50 Woodlake Blvd, Durack, NT",", , , "
The Essington International School Darwin,(08) 8985 0100,administration@essington.nt.edu.au,"22 Chapman Rd, Rapid Creek, NT","PO Box 42321, Casuarina, 0811, NT"
Durack Primary School,(08) 899 77555,durack.school@education.nt.gov.au,"50 Woodlake Bvd, Durack, 0830, NT","PO Box  225, PALMERSTON, 0830, NT"
Elliott School,(08) 8969 2122,kevin.gaskin@education.nt.gov.au,"91 Bray St, Elliott, NT","C/- Elliott Post Office, Elliott, 0862, NT"
Epenarra School,(08) 8964 1512,jennifer.cadzow@education.nt.gov.au,"N/A, Wutunugurra (Epenarra), NT","PMB 270, via Alice Springs, 0861, NT"
Dundee Beach School,(08) 8978 2212,dundee.school@education.nt.gov.au,"500 Namarada Dr, Dundee Beach, NT","PO Box 145, Dundee Beach, 0840, NT"
Driver Pre School,(08) 893 59055,,"37 Driver Ave, Driver, NT",", , , "
Driver Primary School,(08) 893 59000,admin.drivesch@education.nt.gov.au,"37 Driver Ave, Driver, 0830, NT","PO Box  33, PALMERSTON, 0831, NT"
Dripstone Middle School,(08) 898 37777,dripstone.middle@education.nt.gov.au,"10 Delamere St, Tiwi, 0810, NT","PO Box  41370, CASUARINA, 0811, NT"
Douglas Daly School,(08) 8978 2836,rosemary.sullivan@education.nt.gov.au,"Jungawa Rd, Douglas-Daly, NT","PMB 46, via Winnellie, 0822, NT"
Darwin Languages Centre,(08) 899 77000,dlc.nt@education.nt.gov.au,"1 Nemarluk Dr, Ludmilla, NT, NT","P O Box 822, Nightcliff, 0814, NT"
Darwin High School,(08) 899 91222,darwin.high@education.nt.gov.au,"10 Atkins Dr, The Gardens, 0820, NT","Bullocky Point, DARWIN, 0820, NT"
Darwin Middle School,(08) 894 25200,admin.darwinmiddle@education.nt.gov.au,"Atkins Drive, The Gardens, NT 0820, not available, NT","PO Box 2257, PARAP, 0804, NT"
Clyde Fenton Primary School,(08) 897 33844,admin.clydesch@education.nt.gov.au,"101 Giles St, Katherine, 0850, NT","PO Box 421, KATHERINE, 0851, NT"
Clyde Fenton Pre School,(08) 897 33855,,"101 Giles St, Katherine, NT",", , , "
Centralian Middle School,(08) 895 52333,centralian.middle@education.nt.gov.au,"56 Milner Rd, Alice Springs, 0870, NT","PO Box 1771, ALICE SPRINGS, 0871, NT"
Casuarina Street Primary School,(08) 897 33800,casuarina.admin@education.nt.gov.au,"Casuarina St, Katherine East, 0850, NT","PO Box 1046, KATHERINE, 0851, NT"
Casuarina Street Pre School,(08) 897 33800,,"Casuarina St, Katherine East, NT",", , , "
Centralian Senior College,(08) 895 85000,admin.centraliansc@education.nt.gov.au,"10 Grevillea Drive, Alice Springs, 0870, NT","PO Box 4856, ALICE SPRINGS, 0871, NT"
Canteen Creek School,(08) 8964 1505,admin.cantesch@education.nt.gov.au,"N/a, Canteen Creek, NT","PMB 105, via Alice Springs, 0872, NT"
Casuarina Senior College,(08) 898 37300,csc.admin@education.nt.gov.au,"61 Parer Dr, Moil, 0810, NT","PO Box  40196, CASUARINA, 0811, NT"
Bulla Camp School,(08) 9167 8957,jenine.williams@education.nt.gov.au,"N/A, Bulla, NT","PMB 89, Katherine, 0851, NT"
Callistemon House,(08) 8972 3212,admin.callistemon@education.nt.gov.au,"80 Callistemon Dr, Katherine East, 0850, NT","PO Box 1971, Katherine East, 0851, NT"
Bradshaw Primary School,(08) 895 52100,bradshaw.school@education.nt.gov.au,"23 Adamson Ave, Alice Springs, 0870, NT","PO Box 1744, ALICE SPRINGS, 0871, NT"
Bulman School,(08) 8975 4707,irene.singleton@education.nt.gov.au,"N/A, Bulman, NT","PMB 13, Katherine, 0851, NT"
Braitling Pre School,(08) 8985 8511,,"80 Head St, Alice Springs, NT",", , , "
Bradshaw Pre School,(08) 895 52100,,"23 Adamson Ave, Alice Springs, NT",", , , "
Braitling Primary School,(08) 895 85111,admin.braitsch@education.nt.gov.au,"80 Head St, Alice Springs, 0870, NT","PO Box  1669, ALICE SPRINGS, 0871, NT"
Borroloola School,(08) 896 51800,admin.borrosch@education.nt.gov.au,"321 Robinson Rd, Borroloola, 0854, NT","PMB 5, Borroloola, 0854, NT"
Berry Springs Pre School,(08) 8988 6006,,"1150 Cox Peninsula Rd, Berry Springs, NT",", , , "
Borroloola Pre School,(08) 89 758780,,"321 Robinson Road, Borroloola, NT",", , , "
Batchelor Pre School,(08) 8976 0077,,"71 Kirra Cres, Batchelor, NT",", , , "
Bees Creek Primary School,(08) 8983 3222,bees.creek@education.nt.gov.au,"20 Sattler Cres, Freds Pass, NT","PO Box 1500, Coolalinga, 0839, NT"
Bees Creek Pre School,(08) 8983 3222,,"20 Sattler Cres, Freds Pass, NT",", , , "
Belyuen School,(08) 8978 5085,natasha.koroi@education.nt.gov.au,"N/A, Belyuen, NT","PMB 2, GPO Darwin, 0801, NT"
Bonya School,(08) 8956 6352,billie.coupland@education.nt.gov.au,"Community ID 26, Orrtipa-Thurra (Bonya), NT","PMB 69, via Alice Springs, 0872, NT"
Berry Springs Primary School,(08) 8988 6006,berrysprings.primary@education.nt.gov.au,"1150 Cox Peninsula Rd, Berry Springs, 0838, NT","PO Box 135, Berry Springs, 0838, NT"
Bakewell Pre School,(08) 899 77400,,"5 Hutchison Tce, Bakewell, 0832, NT","tba, tba, 0832, "
Australian International Islamic College,(03) 33721400,nt.admin@aiic.nt.edu.au,"25 Bowerlee Road, Berrimah NT 0828, NT","25 Bowerlee Road, Berrimah, 0828, NT"
Areyonga School,(08) 8956 7303,areyonga.school@education.nt.gov.au,"wsw of Hermannsburg, 224km from Alice Springs, Areyonga, NT","Areyonga, via Alice Springs, 0872, NT"
Arlparra School,(08) 8956 9178,john.matthews@education.nt.gov.au,", Arlparra Community, Utopia, NT","PMB 18, via ALICE SPRINGS, 0872, NT"
Baniyala Garrangali School,(08) 8987 9114,jane.munro@education.nt.gov.au,"Yilpara Community, Yirrkala, 0880, NT","PO Box 1496, NHULUNBUY, 0881, NT"
Barunga School,(08) 8975 4502,office.barunga@education.nt.gov.au,"N/A, Barunga  (Bamyili), NT","PMB 117, via Katherine, 0851, NT"
Bakewell Primary School,(08) 899 77400,admin.bakewell@education.nt.gov.au,"1 Forrest Parade, Bakewell, 0832, NT","PO Box 1300, PALMERSTON, 0831, NT"
Batchelor Area School,(08) 8976 0077,batchelor.as@education.nt.gov.au,"71 Kirra Cres, Batchelor, 0845, NT","c/-, Batchelor Post Office, 0845, NT"
Alawa Pre School,(08) 899 77666,,"27 Pett St, Alawa, NT",", , , "
Araluen Christian School,(08) 8955 3300,admin.acc@ntschools.net,"10 Blain St, Alice Springs, NT","10 Blain Street, Alice Springs, 0870, NT"
Anula Primary School,(08) 899 77500,anula.admin@education.nt.gov.au,"73 Yanyula Dr, Anula, 0812, NT","Yanyula Drive, ANULA, 0812, NT"
Adelaide River School,(08) 8976 7034,adelaideriver.ps@education.nt.gov.au,"31 Memorial Tce, Adelaide River, 0846, NT","C/- Post Office, Adelaide River, 0846, NT"
Acacia Hill School,(08) 895 52222,acaciahill.school@education.nt.gov.au,"80 Spearwood Rd, Alice Springs, 0870, NT","PO Box 435, ALICE SPRINGS, 0871, NT"
